Terminal log file
Date: 30.11.2021 - 11:00:59
-----------------------------------------------
Hindenburg 2;30104;187;99054.95;-2.34;0.37;-0.62;0.77;-2.63;1.82;4.18;22.64;54.43;-446.37;4.11,
Hindenburg 2;30610;188;99049.96;-2.39;0.37;-0.62;0.77;1.37;5.65;3.88;22.34;53.53;-447.57;4.11,
Hindenburg 2;31115;189;99050.40;-2.34;0.37;-0.62;0.77;-4.31;2.00;4.58;23.24;53.83;-446.97;4.11,
Hindenburg 2;31621;190;99051.91;-2.39;0.37;-0.62;0.77;-2.24;5.65;0.29;23.09;53.38;-446.82;4.11,
Hindenburg 2;32126;191;99051.58;-2.39;0.37;-0.62;0.77;5.63;5.36;2.78;22.34;54.43;-446.97;4.11,
Hindenburg 2;32632;192;99053.16;-2.39;0.37;-0.62;0.77;-2.14;-0.35;-2.20;22.64;55.33;-446.37;4.11,
Hindenburg 2;33137;193;99052.36;-2.44;0.37;-0.62;0.77;3.65;1.50;-0.61;21.89;54.28;-447.72;4.11,
Hindenburg 2;33642;194;99055.28;-2.44;0.37;-0.62;0.77;0.92;3.88;-7.08;23.39;54.28;-445.32;4.11,
Hindenburg 2;34148;195;99054.46;-2.39;0.37;-0.62;0.77;-2.23;2.20;1.89;22.19;54.88;-446.82;4.11,
Hindenburg 2;34653;196;99053.53;-2.44;0.37;-0.62;0.77;3.66;-3.50;-2.31;23.09;53.98;-446.82;4.11,
Hindenburg 2;35159;197;99051.87;-2.44;0.37;-0.62;0.77;-1.22;-0.55;-4.09;23.69;55.48;-447.12;4.11,
Hindenburg 2;35664;198;99052.68;-2.39;0.37;-0.62;0.77;1.47;1.22;4.08;22.94;55.03;-445.77;4.11,
Hindenburg 2;36170;199;99052.51;-2.44;0.37;-0.62;0.77;0.08;3.28;0.49;23.84;55.33;-446.97;4.11,
Hindenburg 2;36675;200;99053.16;-2.44;0.37;-0.62;0.77;0.08;3.08;4.78;22.94;53.83;-446.07;4.11,
Hindenburg 2;37181;201;99051.86;-2.44;0.37;-0.62;0.77;-0.96;4.67;3.88;22.49;54.28;-447.42;4.11,
Hindenburg 2;37686;202;99054.79;-2.44;0.37;-0.62;0.77;3.22;0.43;-3.50;22.19;55.78;-446.82;4.11,
Hindenburg 2;38192;203;99057.38;-2.48;0.37;-0.62;0.78;-2.41;1.31;-0.11;22.49;53.98;-446.22;4.11,
Hindenburg 2;38697;204;99052.36;-2.48;0.37;-0.62;0.78;4.15;2.99;2.69;22.94;54.43;-445.47;4.11,
Hindenburg 2;39202;205;99053.16;-2.48;0.37;-0.62;0.77;-3.07;-2.23;-7.68;23.09;53.98;-447.42;4.11,
Hindenburg 2;39708;206;99057.38;-2.48;0.36;-0.62;0.77;1.56;-1.04;-2.70;23.24;53.53;-446.67;4.11,
Hindenburg 2;40213;207;99048.83;-2.53;0.37;-0.62;0.77;0.24;-1.73;-4.49;23.09;53.68;-447.72;4.11,
Hindenburg 2;40719;208;99054.79;-2.53;0.37;-0.62;0.77;-3.27;2.79;-0.70;22.34;54.43;-446.97;4.11,
Hindenburg 2;41224;209;99051.86;-2.48;0.36;-0.62;0.77;1.10;2.31;3.08;22.49;53.98;-447.42;4.11,
Hindenburg 2;41730;210;99056.24;-2.53;0.37;-0.62;0.77;-0.66;0.93;-5.59;23.24;53.53;-446.07;4.11,
Hindenburg 2;42235;211;99053.20;-2.44;0.37;-0.62;0.77;0.27;0.26;1.39;22.49;55.48;-447.12;4.11,
Hindenburg 2;42741;212;99050.61;-2.48;0.36;-0.62;0.77;-0.56;-1.15;7.86;23.24;54.13;-446.07;4.11,
Hindenburg 2;43246;213;99051.71;-2.48;0.37;-0.62;0.76;-3.62;4.37;6.56;22.64;54.43;-446.97;4.11,
Hindenburg 2;43752;214;99055.16;-2.48;0.37;-0.62;0.77;0.73;5.65;-0.50;22.34;54.43;-445.77;4.11,
Hindenburg 2;44257;215;99054.01;-2.48;0.37;-0.62;0.77;1.73;0.05;0.60;23.69;54.88;-446.82;4.11,
Hindenburg 2;44762;216;99053.53;-2.53;0.36;-0.62;0.77;2.47;0.93;-2.40;23.54;54.13;-447.27;4.11,
Hindenburg 2;45268;217;99054.50;-2.48;0.51;-0.89;0.97;38.92;16.56;26.90;23.54;54.43;-446.67;4.11,
Hindenburg 2;45773;218;99055.76;-2.53;0.40;-0.59;0.83;1.74;0.93;-8.08;23.54;55.63;-446.67;4.11,
Hindenburg 2;46279;219;99051.10;-2.48;0.37;-0.63;0.72;-2.21;2.32;-4.20;23.69;55.18;-446.82;4.11,
Hindenburg 2;46784;220;99049.67;-2.48;0.36;-0.58;0.83;3.48;2.31;2.09;23.24;54.73;-446.07;4.11,
Hindenburg 2;47290;221;99053.73;-2.48;0.25;-0.73;0.77;4.98;3.08;0.99;23.69;56.98;-446.82;4.11,
Hindenburg 2;47795;222;99049.52;-2.48;0.38;-0.55;0.82;-1.66;2.21;5.27;23.54;57.43;-445.47;4.11,
Hindenburg 2;48301;223;99049.64;-2.44;0.24;-0.55;0.90;1.18;18.34;8.26;22.34;57.73;-446.97;4.11,
Hindenburg 2;48806;224;99049.20;-2.48;0.27;-0.55;0.82;-0.23;6.32;-2.79;22.79;58.48;-445.02;4.11,
Hindenburg 2;49311;225;99052.76;-2.48;0.31;-0.69;0.74;-0.85;8.70;6.08;22.49;56.98;-446.22;4.11,
